PING dtcc.edu (138.123.240.163) 56(84) bytes of data.
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=1 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=2 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=3 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=4 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=5 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=6 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=7 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=8 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=9 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=10 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=11 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=12 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=13 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=14 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=15 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=16 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=17 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=18 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=19 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=20 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=21 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=22 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=23 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=24 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=25 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=26 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=27 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=28 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=29 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=30 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=31 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=32 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=33 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=34 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=35 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=36 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=37 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=38 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=39 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=40 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=41 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=42 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=43 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=44 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=45 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=46 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=47 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=48 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=49 Destination Host Prohibited
From t-web-lb.dtcc.edu (138.123.240.163) icmp_seq=50 Destination Host Prohibited

--- dtcc.edu ping statistics ---
50 packets transmitted, 0 received, +50 errors, 100% packet loss, time 49065ms

