PING gonzaga.edu (147.222.2.71) 56(84) bytes of data.
64 bytes from 147.222.2.71: icmp_seq=1 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=2 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=3 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=4 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=5 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=6 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=7 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=8 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=9 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=10 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=11 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=12 ttl=105 time=174 ms
64 bytes from 147.222.2.71: icmp_seq=13 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=14 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=15 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=16 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=17 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=18 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=19 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=20 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=21 ttl=105 time=170 ms
64 bytes from 147.222.2.71: icmp_seq=22 ttl=105 time=170 ms
64 bytes from 147.222.2.71: icmp_seq=23 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=24 ttl=105 time=170 ms
64 bytes from 147.222.2.71: icmp_seq=25 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=26 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=27 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=28 ttl=105 time=170 ms
64 bytes from 147.222.2.71: icmp_seq=29 ttl=105 time=170 ms
64 bytes from 147.222.2.71: icmp_seq=30 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=31 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=32 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=33 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=34 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=35 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=36 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=37 ttl=105 time=178 ms
64 bytes from 147.222.2.71: icmp_seq=38 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=39 ttl=105 time=177 ms
64 bytes from 147.222.2.71: icmp_seq=40 ttl=105 time=170 ms
64 bytes from 147.222.2.71: icmp_seq=41 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=42 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=43 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=44 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=45 ttl=105 time=170 ms
64 bytes from 147.222.2.71: icmp_seq=46 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=47 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=48 ttl=105 time=170 ms
64 bytes from 147.222.2.71: icmp_seq=49 ttl=105 time=171 ms
64 bytes from 147.222.2.71: icmp_seq=50 ttl=105 time=171 ms

--- gonzaga.edu ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49058ms
rtt min/avg/max/mdev = 170.814/171.487/178.150/1.449 ms
