PING hanover.edu (192.200.131.145) 56(84) bytes of data.
64 bytes from 192.200.131.145: icmp_seq=1 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=2 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=3 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=4 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=5 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=6 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=7 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=8 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=9 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=10 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=11 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=12 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=13 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=14 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=15 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=16 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=17 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=18 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=19 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=20 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=21 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=22 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=23 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=24 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=25 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=26 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=27 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=28 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=29 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=30 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=31 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=32 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=33 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=34 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=35 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=36 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=37 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=38 ttl=45 time=132 ms
64 bytes from 192.200.131.145: icmp_seq=39 ttl=45 time=131 ms
64 bytes from 192.200.131.145: icmp_seq=40 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=41 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=42 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=43 ttl=45 time=130 ms
64 bytes from 192.200.131.145: icmp_seq=44 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=45 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=46 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=47 ttl=45 time=131 ms
64 bytes from 192.200.131.145: icmp_seq=48 ttl=45 time=129 ms
64 bytes from 192.200.131.145: icmp_seq=49 ttl=45 time=135 ms
64 bytes from 192.200.131.145: icmp_seq=50 ttl=45 time=130 ms

--- hanover.edu ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49812ms
rtt min/avg/max/mdev = 129.569/130.231/135.185/0.928 ms
