PING jwu.edu (192.225.208.17) 56(84) bytes of data.
64 bytes from 192.225.208.17: icmp_seq=1 ttl=241 time=32.4 ms
64 bytes from 192.225.208.17: icmp_seq=2 ttl=241 time=32.9 ms
64 bytes from 192.225.208.17: icmp_seq=3 ttl=241 time=33.4 ms
64 bytes from 192.225.208.17: icmp_seq=4 ttl=241 time=32.8 ms
64 bytes from 192.225.208.17: icmp_seq=5 ttl=241 time=32.7 ms
64 bytes from 192.225.208.17: icmp_seq=6 ttl=241 time=32.6 ms
64 bytes from 192.225.208.17: icmp_seq=7 ttl=241 time=35.8 ms
64 bytes from 192.225.208.17: icmp_seq=8 ttl=241 time=35.1 ms
64 bytes from 192.225.208.17: icmp_seq=9 ttl=241 time=32.9 ms
64 bytes from 192.225.208.17: icmp_seq=10 ttl=241 time=32.9 ms
64 bytes from 192.225.208.17: icmp_seq=11 ttl=241 time=32.6 ms
64 bytes from 192.225.208.17: icmp_seq=12 ttl=241 time=34.1 ms
64 bytes from 192.225.208.17: icmp_seq=13 ttl=241 time=34.6 ms
64 bytes from 192.225.208.17: icmp_seq=14 ttl=241 time=32.7 ms
64 bytes from 192.225.208.17: icmp_seq=15 ttl=241 time=33.1 ms
64 bytes from 192.225.208.17: icmp_seq=16 ttl=241 time=32.8 ms
64 bytes from 192.225.208.17: icmp_seq=17 ttl=241 time=33.0 ms
64 bytes from 192.225.208.17: icmp_seq=18 ttl=241 time=32.9 ms
64 bytes from 192.225.208.17: icmp_seq=19 ttl=241 time=32.6 ms
64 bytes from 192.225.208.17: icmp_seq=20 ttl=241 time=32.8 ms
64 bytes from 192.225.208.17: icmp_seq=21 ttl=241 time=32.8 ms
64 bytes from 192.225.208.17: icmp_seq=22 ttl=241 time=32.6 ms
64 bytes from 192.225.208.17: icmp_seq=23 ttl=241 time=32.6 ms
64 bytes from 192.225.208.17: icmp_seq=24 ttl=241 time=32.5 ms
64 bytes from 192.225.208.17: icmp_seq=25 ttl=241 time=35.3 ms
64 bytes from 192.225.208.17: icmp_seq=26 ttl=241 time=32.9 ms
64 bytes from 192.225.208.17: icmp_seq=27 ttl=241 time=32.9 ms
64 bytes from 192.225.208.17: icmp_seq=28 ttl=241 time=33.6 ms
64 bytes from 192.225.208.17: icmp_seq=29 ttl=241 time=36.4 ms
64 bytes from 192.225.208.17: icmp_seq=30 ttl=241 time=33.3 ms
64 bytes from 192.225.208.17: icmp_seq=31 ttl=241 time=32.4 ms
64 bytes from 192.225.208.17: icmp_seq=32 ttl=241 time=33.4 ms
64 bytes from 192.225.208.17: icmp_seq=33 ttl=241 time=32.6 ms
64 bytes from 192.225.208.17: icmp_seq=34 ttl=241 time=32.8 ms
64 bytes from 192.225.208.17: icmp_seq=35 ttl=241 time=32.6 ms
64 bytes from 192.225.208.17: icmp_seq=36 ttl=241 time=32.6 ms
64 bytes from 192.225.208.17: icmp_seq=37 ttl=241 time=32.6 ms
64 bytes from 192.225.208.17: icmp_seq=38 ttl=241 time=33.6 ms
64 bytes from 192.225.208.17: icmp_seq=39 ttl=241 time=32.6 ms
64 bytes from 192.225.208.17: icmp_seq=40 ttl=241 time=35.0 ms
64 bytes from 192.225.208.17: icmp_seq=41 ttl=241 time=34.7 ms
64 bytes from 192.225.208.17: icmp_seq=42 ttl=241 time=32.6 ms
64 bytes from 192.225.208.17: icmp_seq=43 ttl=241 time=32.8 ms
64 bytes from 192.225.208.17: icmp_seq=44 ttl=241 time=34.1 ms
64 bytes from 192.225.208.17: icmp_seq=45 ttl=241 time=32.6 ms
64 bytes from 192.225.208.17: icmp_seq=46 ttl=241 time=32.9 ms
64 bytes from 192.225.208.17: icmp_seq=47 ttl=241 time=32.8 ms
64 bytes from 192.225.208.17: icmp_seq=48 ttl=241 time=32.9 ms
64 bytes from 192.225.208.17: icmp_seq=49 ttl=241 time=32.6 ms
64 bytes from 192.225.208.17: icmp_seq=50 ttl=241 time=32.6 ms

--- jwu.edu ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49082ms
rtt min/avg/max/mdev = 32.452/33.252/36.417/0.935 ms
