PING napavalley.edu (209.129.252.110) 56(84) bytes of data.
From 207.62.197.49 icmp_seq=1 Time to live exceeded
From 207.62.197.49 icmp_seq=2 Time to live exceeded
From 207.62.197.49 icmp_seq=3 Time to live exceeded
From 207.62.197.49 icmp_seq=4 Time to live exceeded
From 207.62.197.49 icmp_seq=5 Time to live exceeded
From 207.62.197.49 icmp_seq=6 Time to live exceeded
From 207.62.197.49 icmp_seq=7 Time to live exceeded
From 207.62.197.49 icmp_seq=8 Time to live exceeded
From 207.62.197.49 icmp_seq=9 Time to live exceeded
From 207.62.197.49 icmp_seq=10 Time to live exceeded
From 207.62.197.49 icmp_seq=11 Time to live exceeded
From 207.62.197.49 icmp_seq=12 Time to live exceeded
From 207.62.197.49 icmp_seq=13 Time to live exceeded
From 207.62.197.49 icmp_seq=14 Time to live exceeded
From 207.62.197.49 icmp_seq=15 Time to live exceeded
From 207.62.197.49 icmp_seq=16 Time to live exceeded
From 207.62.197.49 icmp_seq=17 Time to live exceeded
From 207.62.197.49 icmp_seq=18 Time to live exceeded
From 207.62.197.49 icmp_seq=19 Time to live exceeded
From 207.62.197.49 icmp_seq=20 Time to live exceeded
From 207.62.197.49 icmp_seq=21 Time to live exceeded
From 207.62.197.49 icmp_seq=22 Time to live exceeded
From 207.62.197.49 icmp_seq=23 Time to live exceeded
From 207.62.197.49 icmp_seq=24 Time to live exceeded
From 207.62.197.49 icmp_seq=25 Time to live exceeded
From 207.62.197.49 icmp_seq=26 Time to live exceeded
From 207.62.197.49 icmp_seq=27 Time to live exceeded
From 207.62.197.49 icmp_seq=28 Time to live exceeded
From 207.62.197.49 icmp_seq=29 Time to live exceeded
From 207.62.197.49 icmp_seq=30 Time to live exceeded
From 207.62.197.49 icmp_seq=31 Time to live exceeded
From 207.62.197.49 icmp_seq=32 Time to live exceeded
From 207.62.197.49 icmp_seq=33 Time to live exceeded
From 207.62.197.49 icmp_seq=34 Time to live exceeded
From 207.62.197.49 icmp_seq=35 Time to live exceeded
From 207.62.197.49 icmp_seq=36 Time to live exceeded
From 207.62.197.49 icmp_seq=37 Time to live exceeded
From 207.62.197.49 icmp_seq=38 Time to live exceeded
From 207.62.197.49 icmp_seq=39 Time to live exceeded
From 207.62.197.49 icmp_seq=40 Time to live exceeded
From 207.62.197.49 icmp_seq=41 Time to live exceeded
From 207.62.197.49 icmp_seq=42 Time to live exceeded
From 207.62.197.49 icmp_seq=43 Time to live exceeded
From 207.62.197.49 icmp_seq=44 Time to live exceeded
From 207.62.197.49 icmp_seq=45 Time to live exceeded
From 207.62.197.49 icmp_seq=46 Time to live exceeded
From 207.62.197.49 icmp_seq=47 Time to live exceeded
From 207.62.197.49 icmp_seq=48 Time to live exceeded
From 207.62.197.49 icmp_seq=49 Time to live exceeded
From 207.62.197.49 icmp_seq=50 Time to live exceeded

--- napavalley.edu ping statistics ---
50 packets transmitted, 0 received, +50 errors, 100% packet loss, time 58233ms

