PING pmi.edu (209.104.9.167) 56(84) bytes of data.
64 bytes from 209.104.9.167: icmp_seq=1 ttl=109 time=153 ms
64 bytes from 209.104.9.167: icmp_seq=2 ttl=109 time=175 ms
64 bytes from 209.104.9.167: icmp_seq=3 ttl=109 time=192 ms
64 bytes from 209.104.9.167: icmp_seq=4 ttl=109 time=200 ms
64 bytes from 209.104.9.167: icmp_seq=5 ttl=109 time=204 ms
64 bytes from 209.104.9.167: icmp_seq=6 ttl=109 time=210 ms
64 bytes from 209.104.9.167: icmp_seq=7 ttl=109 time=219 ms
64 bytes from 209.104.9.167: icmp_seq=8 ttl=109 time=224 ms
64 bytes from 209.104.9.167: icmp_seq=9 ttl=109 time=153 ms
64 bytes from 209.104.9.167: icmp_seq=10 ttl=109 time=152 ms
64 bytes from 209.104.9.167: icmp_seq=11 ttl=109 time=153 ms
64 bytes from 209.104.9.167: icmp_seq=12 ttl=109 time=162 ms
64 bytes from 209.104.9.167: icmp_seq=13 ttl=109 time=165 ms
64 bytes from 209.104.9.167: icmp_seq=14 ttl=109 time=175 ms
64 bytes from 209.104.9.167: icmp_seq=15 ttl=109 time=183 ms
64 bytes from 209.104.9.167: icmp_seq=16 ttl=109 time=191 ms
64 bytes from 209.104.9.167: icmp_seq=17 ttl=109 time=199 ms
64 bytes from 209.104.9.167: icmp_seq=18 ttl=109 time=205 ms
64 bytes from 209.104.9.167: icmp_seq=19 ttl=109 time=211 ms
64 bytes from 209.104.9.167: icmp_seq=20 ttl=109 time=209 ms
64 bytes from 209.104.9.167: icmp_seq=21 ttl=109 time=153 ms
64 bytes from 209.104.9.167: icmp_seq=22 ttl=109 time=153 ms
64 bytes from 209.104.9.167: icmp_seq=23 ttl=109 time=152 ms
64 bytes from 209.104.9.167: icmp_seq=24 ttl=109 time=153 ms
64 bytes from 209.104.9.167: icmp_seq=25 ttl=109 time=162 ms
64 bytes from 209.104.9.167: icmp_seq=26 ttl=109 time=167 ms
64 bytes from 209.104.9.167: icmp_seq=27 ttl=109 time=182 ms
64 bytes from 209.104.9.167: icmp_seq=28 ttl=109 time=179 ms
64 bytes from 209.104.9.167: icmp_seq=29 ttl=109 time=199 ms
64 bytes from 209.104.9.167: icmp_seq=30 ttl=109 time=207 ms
64 bytes from 209.104.9.167: icmp_seq=31 ttl=109 time=212 ms
64 bytes from 209.104.9.167: icmp_seq=32 ttl=109 time=214 ms
64 bytes from 209.104.9.167: icmp_seq=33 ttl=109 time=215 ms
64 bytes from 209.104.9.167: icmp_seq=34 ttl=109 time=153 ms
64 bytes from 209.104.9.167: icmp_seq=35 ttl=109 time=153 ms
64 bytes from 209.104.9.167: icmp_seq=36 ttl=109 time=153 ms
64 bytes from 209.104.9.167: icmp_seq=37 ttl=109 time=161 ms
64 bytes from 209.104.9.167: icmp_seq=38 ttl=109 time=166 ms
64 bytes from 209.104.9.167: icmp_seq=39 ttl=109 time=174 ms
64 bytes from 209.104.9.167: icmp_seq=40 ttl=109 time=185 ms
64 bytes from 209.104.9.167: icmp_seq=41 ttl=109 time=184 ms
64 bytes from 209.104.9.167: icmp_seq=42 ttl=109 time=201 ms
64 bytes from 209.104.9.167: icmp_seq=43 ttl=109 time=201 ms
64 bytes from 209.104.9.167: icmp_seq=44 ttl=109 time=212 ms
64 bytes from 209.104.9.167: icmp_seq=45 ttl=109 time=216 ms
64 bytes from 209.104.9.167: icmp_seq=46 ttl=109 time=152 ms
64 bytes from 209.104.9.167: icmp_seq=47 ttl=109 time=153 ms
64 bytes from 209.104.9.167: icmp_seq=48 ttl=109 time=153 ms
64 bytes from 209.104.9.167: icmp_seq=49 ttl=109 time=153 ms
64 bytes from 209.104.9.167: icmp_seq=50 ttl=109 time=153 ms

--- pmi.edu ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50782ms
rtt min/avg/max/mdev = 152.741/180.636/224.813/24.392 ms
