PING prcc.edu (165.227.249.212) 56(84) bytes of data.
64 bytes from 165.227.249.212: icmp_seq=1 ttl=48 time=113 ms
64 bytes from 165.227.249.212: icmp_seq=2 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=3 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=4 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=5 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=6 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=7 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=8 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=9 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=10 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=11 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=12 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=13 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=14 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=15 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=16 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=17 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=18 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=19 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=20 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=21 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=22 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=23 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=24 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=25 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=26 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=27 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=28 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=29 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=30 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=31 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=32 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=33 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=34 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=35 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=36 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=37 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=38 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=39 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=40 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=41 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=42 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=43 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=44 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=45 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=46 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=47 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=48 ttl=48 time=111 ms
64 bytes from 165.227.249.212: icmp_seq=49 ttl=48 time=112 ms
64 bytes from 165.227.249.212: icmp_seq=50 ttl=48 time=112 ms

--- prcc.edu ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49006ms
rtt min/avg/max/mdev = 111.938/112.143/113.512/0.340 ms
