PING ucop.edu (128.48.70.17) 56(84) bytes of data.
64 bytes from 128.48.70.17: icmp_seq=1 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=2 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=3 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=4 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=5 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=6 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=7 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=8 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=9 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=10 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=11 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=12 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=13 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=14 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=15 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=16 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=17 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=18 ttl=236 time=164 ms
64 bytes from 128.48.70.17: icmp_seq=19 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=20 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=21 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=22 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=23 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=24 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=25 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=26 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=27 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=28 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=29 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=30 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=31 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=32 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=33 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=34 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=35 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=36 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=37 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=38 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=39 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=40 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=41 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=42 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=43 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=44 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=45 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=46 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=47 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=48 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=49 ttl=236 time=165 ms
64 bytes from 128.48.70.17: icmp_seq=50 ttl=236 time=165 ms

--- ucop.edu ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 58230ms
rtt min/avg/max/mdev = 164.958/165.406/165.822/0.488 ms
